"modelo","significativo","variable","beta","sd","lower95","upper95","FOI"
"24_dens_prec_inter","No","pop_dens_z",-0.0103445003414883,0.0282516795661679,-0.0658753193460709,0.0449451780009927,"variante"
"24_dens_prec_inter","Yes","prec_lag",-0.0835367942022296,0.0161242249858651,-0.115217696092488,-0.0519702764099854,"variante"
"25_climate_inter_tp","No","hum_lag",0.00841114921980208,0.021691380287013,-0.0332698202226056,0.0517748410774886,"variante"
"25_climate_inter_tp","Yes","prec_lag",-0.0680618778318373,0.0150141454881941,-0.09756023825067,-0.0386599485948412,"variante"
"25_climate_inter_tp","Yes","temp_lag",0.0543573398335267,0.0152679028248548,0.0241504507985276,0.0840688644255558,"variante"
"25_climate_inter_tp","Yes","temp_x_prec",0.0425074037967412,0.0169636068735213,0.00933008143103325,0.0758842507661689,"variante"
"27_dens_inter_dt","Yes","dens_x_temp",-0.0524791593398188,0.0182282451414878,-0.0887900731983799,-0.0171935747210519,"variante"
"27_dens_inter_dt","No","hum_lag",0.021860159662011,0.0219271408274214,-0.0203014014134277,0.0656611882847297,"variante"
"27_dens_inter_dt","No","pop_dens_z",-0.0198213815599819,0.0211778534557483,-0.0611073507344794,0.02207278632606,"variante"
"27_dens_inter_dt","Yes","prec_lag",-0.0830465074630503,0.0145049270625246,-0.111519807852029,-0.0546204659106642,"variante"
"27_dens_inter_dt","Yes","temp_lag",0.056453140963388,0.0136930258769211,0.0293810201259335,0.0831192705204019,"variante"
"28_all_temp","No","hum_lag",0.0136281352237022,0.0216433715015568,-0.0279996155067171,0.0568591848215105,"variante"
"28_all_temp","Yes","pop_dens_z",-0.0694789327369104,0.0125772913817055,-0.0942404636217094,-0.0449045151158754,"variante"
"28_all_temp","Yes","prec_lag",-0.0845345527670718,0.0145646579492349,-0.113160629645402,-0.0560271690626208,"variante"
"28_all_temp","Yes","temp_lag",0.0490997373074275,0.0135822026581096,0.0221866660682174,0.0754857542392733,"variante"
"29_all_elev","Yes","elevation_z",-0.0554253294823022,0.0125348049776164,-0.0798343277892705,-0.0306552353401437,"variante"
"29_all_elev","No","hum_lag",0.00118295274912928,0.0219961500287373,-0.0411679316610834,0.0450675690001622,"variante"
"29_all_elev","Yes","pop_dens_z",-0.0625919442186402,0.0123284844754312,-0.08687952756312,-0.0385201246820688,"variante"
"29_all_elev","Yes","prec_lag",-0.0794417697789387,0.0146128890953592,-0.108156449199099,-0.0508330897828333,"variante"
"30_all_temp_inter","Yes","dens_x_temp",-0.0511067429991932,0.0183406866818116,-0.0876517822950579,-0.0156167526250211,"variante"
"30_all_temp_inter","No","hum_lag",0.0217012828267169,0.0219274343118652,-0.0204647866185132,0.0655033417256718,"variante"
"30_all_temp_inter","No","pop_dens_z",-0.0180871433953638,0.021304210116039,-0.0595787666153097,0.0241004996288766,"variante"
